District;Municipality;parish;DistrictCode;MunicipalityCode;parishCode_1
AVEIRO          ;Albergaria-a-Velha         ;ALBERGARIA-A-VELHA E VALMAIOR ;1;102;1
AVEIRO          ;Albergaria-a-Velha         ;ALQUERUBIM                    ;1;102;2
AVEIRO          ;Albergaria-a-Velha         ;ANGEJA                        ;1;102;3
AVEIRO          ;Albergaria-a-Velha         ;BRANCA                        ;1;102;4
AVEIRO          ;Albergaria-a-Velha         ;RIBEIRA DE FRAGUAS            ;1;102;5
AVEIRO          ;Albergaria-a-Velha         ;SAO JOAO DE LOURE E FROSSOS   ;1;102;6
AVEIRO          ;Anadia                     ;AVELAS DE CAMINHO             ;1;103;7
AVEIRO          ;Anadia                     ;AVELAS DE CIMA                ;1;103;8
AVEIRO          ;Anadia                     ;MOITA                         ;1;103;9
AVEIRO          ;Anadia                     ;SANGALHOS                     ;1;103;10
AVEIRO          ;Anadia                     ;SAO LOURENCO DO BAIRRO        ;1;103;11
AVEIRO          ;Anadia                     ;UF A DA GANDARA BAIRRO E ANCAS;1;103;12
AVEIRO          ;Anadia                     ;UF ARCOS E MOGOFORES          ;1;103;13
AVEIRO          ;Anadia                     ;UF TAMENGOS AGUIM OIS BAIRRO  ;1;103;14
AVEIRO          ;Anadia                     ;VILA NOVA DE MONSARROS        ;1;103;15
AVEIRO          ;Anadia                     ;VILARINHO DO BAIRRO           ;1;103;16
AVEIRO          ;Arouca                     ;ALVARENGA                     ;1;104;17
AVEIRO          ;Arouca                     ;CHAVE                         ;1;104;18
AVEIRO          ;Arouca                     ;ESCARIZ                       ;1;104;19
AVEIRO          ;Arouca                     ;FERMEDO                       ;1;104;20
AVEIRO          ;Arouca                     ;MANSORES                      ;1;104;21
AVEIRO          ;Arouca                     ;MOLDES                        ;1;104;22
AVEIRO          ;Arouca                     ;ROSSAS                        ;1;104;23
AVEIRO          ;Arouca                     ;SANTA EULALIA                 ;1;104;24
AVEIRO          ;Arouca                     ;SAO MIGUEL DO MATO            ;1;104;25
AVEIRO          ;Arouca                     ;TROPECO                       ;1;104;26
AVEIRO          ;Arouca                     ;UF AROUCA E BURGO             ;1;104;27
AVEIRO          ;Arouca                     ;UF CABREIROS ALBERGARIA SERRA ;1;104;28
AVEIRO          ;Arouca                     ;UF CANELAS E ESPIUNCA         ;1;104;29
AVEIRO          ;Arouca                     ;UF COVELO DE PAIVO E JANARDE  ;1;104;30
AVEIRO          ;Arouca                     ;URRO                          ;1;104;31
AVEIRO          ;Arouca                     ;VARZEA                        ;1;104;32
AVEIRO          ;Aveiro                     ;ARADAS                        ;1;105;33
AVEIRO          ;Aveiro                     ;CACIA                         ;1;105;34
AVEIRO          ;Aveiro                     ;EIXO E EIROL                  ;1;105;35
AVEIRO          ;Aveiro                     ;ESGUEIRA                      ;1;105;36
AVEIRO          ;Aveiro                     ;OLIVEIRINHA                   ;1;105;37
AVEIRO          ;Aveiro                     ;REQUEIXO N S FATIMA E NARIZ   ;1;105;38
AVEIRO          ;Aveiro                     ;SANTA JOANA                   ;1;105;39
AVEIRO          ;Aveiro                     ;SAO BERNARDO                  ;1;105;40
AVEIRO          ;Aveiro                     ;SAO JACINTO                   ;1;105;41
AVEIRO          ;Aveiro                     ;UF GLORIA E VERA CRUZ         ;1;105;42
AVEIRO          ;Castelo de Paiva           ;FORNOS                        ;1;106;43
AVEIRO          ;Castelo de Paiva           ;REAL                          ;1;106;44
AVEIRO          ;Castelo de Paiva           ;SANTA MARIA DE SARDOURA       ;1;106;45
AVEIRO          ;Castelo de Paiva           ;SAO MARTINHO DE SARDOURA      ;1;106;46
AVEIRO          ;Castelo de Paiva           ;UF RAIVA PEDORIDO E PARAISO   ;1;106;47
AVEIRO          ;Castelo de Paiva           ;UF SOBRADO E BAIRROS          ;1;106;48
AVEIRO          ;Espinho                    ;ESPINHO                       ;1;107;49
AVEIRO          ;Espinho                    ;PARAMOS                       ;1;107;50
AVEIRO          ;Espinho                    ;SILVALDE                      ;1;107;51
AVEIRO          ;Espinho                    ;UF ANTA E GUETIM              ;1;107;52
AVEIRO          ;Estarreja                  ;AVANCA                        ;1;108;53
AVEIRO          ;Estarreja                  ;PARDILHO                      ;1;108;54
AVEIRO          ;Estarreja                  ;SALREU                        ;1;108;55
AVEIRO          ;Estarreja                  ;UF BEDUIDO E VEIROS           ;1;108;56
AVEIRO          ;Estarreja                  ;UF CANELAS E FERMELA          ;1;108;57
AVEIRO          ;Mealhada                   ;BARCOUCO                      ;1;111;58
AVEIRO          ;Mealhada                   ;CASAL COMBA                   ;1;111;59
AVEIRO          ;Mealhada                   ;LUSO                          ;1;111;60
AVEIRO          ;Mealhada                   ;PAMPILHOSA                    ;1;111;61
AVEIRO          ;Mealhada                   ;UF MEALHADA VENTOSA BAIR ANTES;1;111;62
AVEIRO          ;Mealhada                   ;VACARICA                      ;1;111;63
AVEIRO          ;Murtosa                    ;BUNHEIRO                      ;1;112;64
AVEIRO          ;Murtosa                    ;MONTE                         ;1;112;65
AVEIRO          ;Murtosa                    ;MURTOSA                       ;1;112;66
AVEIRO          ;Murtosa                    ;TORREIRA                      ;1;112;67
AVEIRO          ;Oliveira de Azeméis        ;CARREGOSA                     ;1;113;68
AVEIRO          ;Oliveira de Azeméis        ;CESAR                         ;1;113;69
AVEIRO          ;Oliveira de Azeméis        ;FAJOES                        ;1;113;70
AVEIRO          ;Oliveira de Azeméis        ;MACIEIRA DE SARNES            ;1;113;71
AVEIRO          ;Oliveira de Azeméis        ;OSSELA                        ;1;113;72
AVEIRO          ;Oliveira de Azeméis        ;SAO MARTINHO DA GANDARA       ;1;113;73
AVEIRO          ;Oliveira de Azeméis        ;SAO ROQUE                     ;1;113;74
AVEIRO          ;Oliveira de Azeméis        ;UF NOGUEIRA DO CRAVO E PINDELO;1;113;75
AVEIRO          ;Oliveira de Azeméis        ;UF O AZEM RIBA UL SEIXA MADAIL;1;113;76
AVEIRO          ;Oliveira de Azeméis        ;UF P BEMPOSTA TRAVANCA PALMAZ ;1;113;77
AVEIRO          ;Oliveira de Azeméis        ;VILA DE CUCUJAES              ;1;113;78
AVEIRO          ;Oliveira do Bairro         ;OIA                           ;1;114;79
AVEIRO          ;Oliveira do Bairro         ;OLIVEIRA DO BAIRRO            ;1;114;80
AVEIRO          ;Oliveira do Bairro         ;PALHACA                       ;1;114;81
AVEIRO          ;Oliveira do Bairro         ;UF BUSTOS TROVISCAL MAMARROSA ;1;114;82
AVEIRO          ;Ovar                       ;CORTEGACA                     ;1;115;83
AVEIRO          ;Ovar                       ;ESMORIZ                       ;1;115;84
AVEIRO          ;Ovar                       ;MACEDA                        ;1;115;85
AVEIRO          ;Ovar                       ;UF OVAR S J ARADA E S V P JUSA;1;115;86
AVEIRO          ;Ovar                       ;VALEGA                        ;1;115;87
AVEIRO          ;Santa Maria da Feira       ;ARGONCILHE                    ;1;109;88
