ParishCodeB;ParishCodeA;location_id
010209;010209;1
010202;010202;2
010203;010203;3
010204;010204;4
010206;010206;5
010210;010210;6
010304;010304;7
010305;010305;8
010307;010307;9
010309;010309;10
010310;010310;11
010316;010316;12
010317;010317;13
010318;010318;14
010312;010312;15
010313;010313;16
010402;010402;17
010407;010407;18
010409;010409;19
010411;010411;20
010413;010413;21
010414;010414;22
010415;010415;23
010416;010416;24
010417;010417;25
010418;010418;26
010421;010421;27
010422;010422;28
010423;010423;29
010424;010424;30
010419;010419;31
010420;010420;32
010501;010501;33
010502;010502;34
010515;010515;35
010505;010505;36
010508;010508;37
010516;010516;38
010513;010513;39
010510;010510;40
010511;010511;41
010517;010517;42
010602;010602;43
010606;010606;44
010607;010607;45
010608;010608;46
010610;010610;47
010611;010611;48
010702;010702;49
010704;010704;50
010705;010705;51
010706;010706;52
010801;010801;53
010805;010805;54
010806;010806;55
010808;010808;56
010809;010809;57
011102;011102;58
011103;011103;59
011104;011104;60
011106;011106;61
011109;011109;62
011107;011107;63
011201;011201;64
011202;011202;65
011203;011203;66
011204;011204;67
011301;011301;68
011302;011302;69
011303;011303;70
011305;011305;71
011310;011310;72
011315;011315;73
011318;011318;74
011320;011320;75
011321;011321;76
011322;011322;77
011319;011319;78
011403;011403;79
011404;011404;80
011405;011405;81
011407;011407;82
011502;011502;83
011503;011503;84
011504;011504;85
011509;011509;86
011507;011507;87
010901;010901;88
010902;010902;89
010904;010904;90
010907;010907;91
010908;010908;92
010913;010913;93
010914;010914;94
010916;010916;95
010917;010917;96
010919;010919;97
010921;010921;98
010922;010922;99
010924;010924;100
010925;010925;101
010926;010926;102
010918;010918;103
010932;010932;104
010933;010933;105
010935;010935;106
010934;010934;107
010936;010936;108
011702;011702;109
011704;011704;110
011705;011705;111
011706;011706;112
011708;011708;113
011710;011710;114
011711;011711;115
011601;011601;116
011801;011801;117
011804;011804;118
011805;011805;119
011810;011810;120
011807;011807;121
011812;011812;122
011813;011813;123
011814;011814;124
011901;011901;125
011903;011903;126
011905;011905;127
011906;011906;128
011907;011907;129
011902;011902;130
011910;011910;131
010103;010103;132
010109;010109;133
010112;010112;134
010121;010121;135
010122;010122;136
010123;010123;137
010127;010127;138
010124;010124;139
010125;010125;140
