Municipality;Percentage of smart meters;Consumption per contract
Abrantes;88.61452;490677.39967
Aguiar da Beira;99.37837;100721.22809
Alandroal;80.74333;219285.01575
Albergaria-a-Velha;96.68993;1727077.40333
Albufeira;94.16431;4123914.37938
Alcanena;95.25534;387228.53323
Alcobaça;93.66309;772106.54015
Alcochete;99.93043;1361292.9984
Alcoutim;76.16134;95999.85717
Alcácer do Sal;99.01756;836687.31112
Alenquer;99.50133;1005254.8737
Alfândega da Fé;98.42597;55569.039
Alijó;77.17038;93493.66143
Aljezur;79.72028;317319.27367
Aljustrel;96.18138;1866640.57271
Almada;98.13108;3854080.6518
Almeida;98.56221;56313.90329
Almeirim;91.09807;845261.30963
Almodôvar;97.85377;175452.92322
Alpiarça;98.66667;2009477.451
Alter do Chão;98.85837;100821.66575
Alvaiázere;99.28472;152609.81475
Alvito;99.75831;379262.28775
Amadora;98.81872;3137996.47567
Amarante;78.44966;236054.53554
Amares;95.18072;158768.64764
Anadia;87.02507;550824.856
Ansião;99.47858;243273.96042
Arcos de Valdevez;95.22305;177348.8066
Arganil;67.77026;208034.54353
Armamar;99.04192;81038.40905
Arouca;78.47937;176788.34843
Arraiolos;84.38559;201210.908
Arronches;85.00225;199685.703
Arruda dos Vinhos;99.52191;426395.19486
Aveiro;99.71321;3010167.06024
Avis;99.53627;331477.66642
Azambuja;99.33566;961684.82962
Baião;94.00564;145400.35617
Barcelos;88.7095;306511.38019
Barrancos;98.19228;184607.967
Barreiro;99.62783;2192132.28914
Batalha;99.92693;815859.82875
Beja;99.59947;1891088.49296
Belmonte;97.86463;178441.21383
Benavente;97.00815;1756845.72457
Bombarral;99.43923;400489.22475
Borba;73.98802;229611.24829
Boticas;88.22656;95412.90379
Braga;93.2839;862985.68303
Bragança;91.03722;205175.86262
Cabeceiras de Basto;89.25636;168368.30907
Cadaval;88.47482;245976.46292
Caldas da Rainha;99.54965;668888.31909
Caminha;98.25978;204693.49529
Campo Maior;98.39768;750954.05133
Cantanhede;90.4148;735358.2617
Carrazeda de Ansiães;99.39978;68126.93836
Carregal do Sal;97.49412;314151.77343
Cartaxo;96.64402;737700.18782
Cascais;96.20376;6186608.056
Castanheira de Pêra;97.32351;383849.2055
Castelo Branco;88.12523;580820.83175
Castelo de Paiva;99.11437;427403.20063
Castelo de Vide;97.99793;173162.592
Castro daire;85.11413;112560.89632
Castro Marim;80.72951;639000.06657
Castro Verde;98.71429;250515.211
Celorico da Beira;99.32599;60796.35814
Celorico de Basto;86.95451;165091.11595
Chamusca;97.2149;529043.3392
Chaves;93.27535;177052.08138
Cinfães;65.3585;127895.18047
Coimbra;99.74202;1671942.38013
Condeixa-a-Nova;99.71822;382495.0974
Constância;99.49153;1115544.23
Coruche;98.61211;678328.26225
Covilhã;94.88417;501693.31018
Crato;98.83758;124030.52067
Cuba;99.37827;205777.42312
Elvas;92.39532;466406.73538
Entroncamento;99.66943;1439504.16375
Espinho;99.30922;823088.37637
Esposende;99.86333;562141.16619
Estarreja;98.96157;6833927.84825
Estremoz;90.25484;238058.871
Fafe;89.64973;298236.55929
Faro;95.78267;2401068.811
Felgueiras;81.14196;371494.04886
Ferreira do Alentejo;99.27423;803272.972
Ferreira do Zêzere;98.03287;310363.83109
Figueira da Foz;84.50642;3952447.54812
Figueira de Castelo Rodrigo;98.72118;76178.12485
Figueiró dos Vinhos;98.04458;183461.18967
Fornos de Algodres;99.31749;59528.69529
Freixo de Espada À Cinta;97.33607;122696.742
Fronteira;99.63724;131348.83383
Fundão;99.17376;247957.5037
Gavião;99.50567;99229.32257
Golegã;99.27988;613003.6356
Gondomar;86.6913;2293289.29
Gouveia;99.2197;97769.59348
Grândola;99.24812;885271.12275
Guarda;92.06974;261554.32224
Guimarães;95.17573;624299.5423
Góis;92.05012;131872.91217
Idanha-a-Nova;80.91362;164061.47
Lagoa;98.60617;1520522.59087
Lagos;91.91557;1753356.71325
Lamego;99.95509;193930.94686
Leiria;95.63174;1448104.48583
Lisboa;98.59005;4900914.20108
Loulé;90.52886;2738036.24024
Loures;97.52271;2710364.68305
